mesh_id	mesh_term	drug_name	p_count	c_count
D000008	Abdominal Neoplasms	histamine	1	0
D000008	Abdominal Neoplasms	auranofin	1	0
D000008	Abdominal Neoplasms	carboplatin	1	0
D000013	Congenital Abnormalities	c-30	1	0
D000022	Abortion, Spontaneous	sr9009	1	0
D000026	Abortion, Habitual	dydrogesterone	2	0
D000026	Abortion, Habitual	vip	1	0
D000026	Abortion, Habitual	e5564	1	0
D000026	Abortion, Habitual	aspirin	1	0
D000026	Abortion, Habitual	hyperin	1	0
D000038	Abscess	djk-5	1	0
D000066492	Cognitive Aging	cannabidiol	1	0
D000066553	Problem Behavior	risperidone	1	1
D000067390	Cold Injury	dexamethasone	1	0
D000067877	Autism Spectrum Disorder	methyltetrahydrofolate	1	0
D000067877	Autism Spectrum Disorder	leucovorin	1	1
D000067877	Autism Spectrum Disorder	levofolinate	1	0
D000067877	Autism Spectrum Disorder	biotin	1	0
D000067877	Autism Spectrum Disorder	folic acid	1	0
D000067877	Autism Spectrum Disorder	pga	1	0
D000067877	Autism Spectrum Disorder	jb2	1	0
D000067877	Autism Spectrum Disorder	r-baclofen	2	0
D000067877	Autism Spectrum Disorder	lp-211	1	0
D000067877	Autism Spectrum Disorder	memantine	7	2
D000067877	Autism Spectrum Disorder	aripiprazole	6	1
D000067877	Autism Spectrum Disorder	u0126	1	0
D000067877	Autism Spectrum Disorder	pd0325901	2	0
D000067877	Autism Spectrum Disorder	risperidone	12	1
D000067877	Autism Spectrum Disorder	metformin	4	1
D000067877	Autism Spectrum Disorder	fluvastatin	1	0
D000067877	Autism Spectrum Disorder	trichostatin a	2	0
D000067877	Autism Spectrum Disorder	bms-204352	1	0
D000067877	Autism Spectrum Disorder	simvastatin	1	0
D000067877	Autism Spectrum Disorder	rapamycin	9	0
D000067877	Autism Spectrum Disorder	canagliflozin	1	0
D000067877	Autism Spectrum Disorder	retigabine	1	0
D000067877	Autism Spectrum Disorder	myrcene	1	0
D000067877	Autism Spectrum Disorder	d-limonene	1	0
D000067877	Autism Spectrum Disorder	beta-caryophyllene	1	0
D000067877	Autism Spectrum Disorder	oxytocin	26	2
D000067877	Autism Spectrum Disorder	clemastine	1	0
D000067877	Autism Spectrum Disorder	melatonin	6	0
D000067877	Autism Spectrum Disorder	sodium butyrate	1	0
D000067877	Autism Spectrum Disorder	resveratrol	5	0
D000067877	Autism Spectrum Disorder	valproic acid	4	0
D000067877	Autism Spectrum Disorder	anethole	1	0
D000067877	Autism Spectrum Disorder	astaxanthin	1	0
D000067877	Autism Spectrum Disorder	interleukine-17a	1	0
D000067877	Autism Spectrum Disorder	suvorexant	1	0
D000067877	Autism Spectrum Disorder	coenzyme q10	2	0
D000067877	Autism Spectrum Disorder	umbelliferone	1	0
D000067877	Autism Spectrum Disorder	sulforaphane	1	1
D000067877	Autism Spectrum Disorder	insulin-like growth factor 2	1	0
D000067877	Autism Spectrum Disorder	d-cycloserine	8	1
D000067877	Autism Spectrum Disorder	suramin	3	1
D000067877	Autism Spectrum Disorder	t4	1	0
D000067877	Autism Spectrum Disorder	coenzyme q	1	0
D000067877	Autism Spectrum Disorder	desipramine	1	1
D000067877	Autism Spectrum Disorder	stx209	2	0
D000067877	Autism Spectrum Disorder	lithium chloride	3	0
D000067877	Autism Spectrum Disorder	l-838,417	1	0
D000067877	Autism Spectrum Disorder	clobazam	1	0
D000067877	Autism Spectrum Disorder	zolpidem	2	0
D000067877	Autism Spectrum Disorder	clonazepam	1	0
D000067877	Autism Spectrum Disorder	oxotremorine	1	0
D000067877	Autism Spectrum Disorder	donepezil	4	0
D000067877	Autism Spectrum Disorder	tiagabine	1	0
D000067877	Autism Spectrum Disorder	cgp 55845	1	0
D000067877	Autism Spectrum Disorder	atomoxetine	1	1
D000067877	Autism Spectrum Disorder	methylphenidate	1	1
D000067877	Autism Spectrum Disorder	m100907	1	0
D000067877	Autism Spectrum Disorder	cyclopentyladenosine	2	0
D000067877	Autism Spectrum Disorder	valproate	1	0
D000067877	Autism Spectrum Disorder	cq	1	0
D000067877	Autism Spectrum Disorder	arginine vasopressin	1	0
D000067877	Autism Spectrum Disorder	bumetanide	2	0
D000067877	Autism Spectrum Disorder	diazepam	1	0
D000067877	Autism Spectrum Disorder	allopregnanolone	2	0
D000067877	Autism Spectrum Disorder	ganaxolone	1	0
D000067877	Autism Spectrum Disorder	biochanin a	1	0
D000067877	Autism Spectrum Disorder	beta-estradiol	1	0
D000067877	Autism Spectrum Disorder	beta-estradiol 17-cypionate	1	0
D000067877	Autism Spectrum Disorder	t0901317	2	0
D000067877	Autism Spectrum Disorder	fluoxetine	3	0
D000067877	Autism Spectrum Disorder	desloratadine	1	0
D000067877	Autism Spectrum Disorder	ibudilast	1	0
D000067877	Autism Spectrum Disorder	pf1	1	0
D000067877	Autism Spectrum Disorder	propranolol	1	0
D000067877	Autism Spectrum Disorder	3-cyano-n-(1,3-diphenyl-1h-pyrazol-5-yl)benzamide	1	0
D000067877	Autism Spectrum Disorder	nicotine	1	0
D000067877	Autism Spectrum Disorder	vitamin d	1	0
D000067877	Autism Spectrum Disorder	sge-872	1	0
D000067877	Autism Spectrum Disorder	urb597	1	0
D000067877	Autism Spectrum Disorder	am251	1	0
D000067877	Autism Spectrum Disorder	tak242	1	0
D000067877	Autism Spectrum Disorder	nitrosynapsin	1	0
D000067877	Autism Spectrum Disorder	rs102221	1	0
D000067877	Autism Spectrum Disorder	pioglitazone	1	0
D000067877	Autism Spectrum Disorder	insulin	1	0
D000067877	Autism Spectrum Disorder	estradiol	1	0
D000067877	Autism Spectrum Disorder	clozapine	1	0
D000067877	Autism Spectrum Disorder	romidepsin	2	0
D000067877	Autism Spectrum Disorder	norethindrone	1	0
D000067877	Autism Spectrum Disorder	ramh	1	0
D000067877	Autism Spectrum Disorder	dl77	1	0
D000067877	Autism Spectrum Disorder	mw108	1	0
D000067877	Autism Spectrum Disorder	mw150	1	0
D000067877	Autism Spectrum Disorder	gastrodin	1	0
D000067877	Autism Spectrum Disorder	melanotan-ii	2	0
D000067877	Autism Spectrum Disorder	nap	1	0
D000067877	Autism Spectrum Disorder	ly294002	1	0
D000067877	Autism Spectrum Disorder	cx546	1	0
D000067877	Autism Spectrum Disorder	gaboxadol	1	0
D000067877	Autism Spectrum Disorder	7,8-dihydroxyflavone	1	0
D000067877	Autism Spectrum Disorder	jnj16259685	1	0
D000067877	Autism Spectrum Disorder	cannabidivarin	1	0
D000067877	Autism Spectrum Disorder	isoguvacine	1	0
D000067877	Autism Spectrum Disorder	midazolam	1	1
D000067877	Autism Spectrum Disorder	skip	1	0
D000067877	Autism Spectrum Disorder	berberine	1	0
D000067877	Autism Spectrum Disorder	d-serine	1	1
D000067877	Autism Spectrum Disorder	glycine	1	1
D000067877	Autism Spectrum Disorder	org24598	1	0
D000067877	Autism Spectrum Disorder	sarcosine	1	0
D000067877	Autism Spectrum Disorder	s18841	1	0
D000067877	Autism Spectrum Disorder	nicotinamide riboside	1	0
D000067877	Autism Spectrum Disorder	lithium	2	0
D000067877	Autism Spectrum Disorder	tc-ot-39	1	0
D000067877	Autism Spectrum Disorder	ot(4-9)	1	0
D000067877	Autism Spectrum Disorder	carbetocin	2	0
D000067877	Autism Spectrum Disorder	beta-glucan	1	0
D000067877	Autism Spectrum Disorder	fructooligosaccharides	1	0
D000067877	Autism Spectrum Disorder	dopamine	1	0
D000067877	Autism Spectrum Disorder	plx5622	1	0
D000067877	Autism Spectrum Disorder	donepezil hydrochloride	1	0
D000067877	Autism Spectrum Disorder	(r)-alpha-methylhistamine	1	0
D000067877	Autism Spectrum Disorder	tandospirone	1	0
D000067877	Autism Spectrum Disorder	gsk-lsd1	2	0
D000067877	Autism Spectrum Disorder	ramelteon	1	0
D000067877	Autism Spectrum Disorder	5-aiq	1	0
D000067877	Autism Spectrum Disorder	ku55933	1	0
D000067877	Autism Spectrum Disorder	tak-418	1	0
D000067877	Autism Spectrum Disorder	jzl184	1	0
D000067877	Autism Spectrum Disorder	curcumin	1	0
D000067877	Autism Spectrum Disorder	pd325901	1	0
D000067877	Autism Spectrum Disorder	cariprazine	1	0
D000067877	Autism Spectrum Disorder	cbd oil	1	0
D000067877	Autism Spectrum Disorder	olive oil	1	0
D000067877	Autism Spectrum Disorder	3,4-methylenedioxymethamphetamine	1	1
D000067877	Autism Spectrum Disorder	tta-121	1	0
D000067877	Autism Spectrum Disorder	cdd-0102a	1	0
D000067877	Autism Spectrum Disorder	vu0255035	1	0
D000067877	Autism Spectrum Disorder	guggulsterone	1	0
D000067877	Autism Spectrum Disorder	n-acetylcysteine	1	1
D000067877	Autism Spectrum Disorder	tgot	2	0
D000067877	Autism Spectrum Disorder	ketamine	2	0
D000067877	Autism Spectrum Disorder	plx3397	1	0
D000067877	Autism Spectrum Disorder	gw4064	1	0
D000067877	Autism Spectrum Disorder	minocycline	1	0
D000067877	Autism Spectrum Disorder	ory-1001	1	0
D000067877	Autism Spectrum Disorder	vasopressin	1	1
D000067877	Autism Spectrum Disorder	sulpiride	1	0
D000067877	Autism Spectrum Disorder	ccmi	1	0
D000067877	Autism Spectrum Disorder	aspirin	1	0
