nctid	nct_title	nct_link	status
NCT00000134	Studies of the Ocular Complications of AIDS (SOCA)--Cytomegalovirus Retinitis Retreatment Trial (CRRT)	https://clinicaltrials.gov/study/NCT00000134	COMPLETED
NCT00000136	Studies of the Ocular Complications of AIDS (SOCA)--Foscarnet-Ganciclovir CMV Retinitis Trial (FGCRT)	https://clinicaltrials.gov/study/NCT00000136	COMPLETED
NCT00000371	Trial of D-Cycloserine in Schizophrenia	https://clinicaltrials.gov/study/NCT00000371	COMPLETED
NCT00000378	Antidepressant Treatment of Melancholia in Late Life	https://clinicaltrials.gov/study/NCT00000378	COMPLETED
NCT00000479	Women's Health Study (WHS): A Randomized Trial of Low-dose Aspirin and Vitamin E in the Primary Prevention of Cardiovascular Disease and Cancer	https://clinicaltrials.gov/study/NCT00000479	COMPLETED
NCT00000575	Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (CAMPCS/2), and IV (CAMPCS/3)	https://clinicaltrials.gov/study/NCT00000575	COMPLETED
NCT00001213	Cysteamine Eye Drops to Treat Corneal Crystals in Cystinosis	https://clinicaltrials.gov/study/NCT00001213	COMPLETED
NCT00001259	A Treatment Study for Premenstrual Syndrome (PMS)	https://clinicaltrials.gov/study/NCT00001259	COMPLETED
NCT00001596	Oral Pirfenidone for the Pulmonary Fibrosis of Hermansky-Pudlak Syndrome	https://clinicaltrials.gov/study/NCT00001596	COMPLETED
NCT00001656	Comparison of Clozapine vs Olanzapine in Childhood-Onset Psychotic Disorders	https://clinicaltrials.gov/study/NCT00001656	COMPLETED
NCT00001723	Safety and Efficacy of Xenical in Children and Adolescents With Obesity-Related Diseases	https://clinicaltrials.gov/study/NCT00001723	COMPLETED
NCT00001832	Lymphocyte Re-infusion During Immune Suppression to Treat Metastatic Melanoma	https://clinicaltrials.gov/study/NCT00001832	COMPLETED
NCT00001959	Pirfenidone to Treat Kidney Disease (Focal Segmental Glomerulosclerosis)	https://clinicaltrials.gov/study/NCT00001959	COMPLETED
NCT00002558	Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Germ Cell Tumors	https://clinicaltrials.gov/study/NCT00002558	COMPLETED
NCT00002597	Radiation Therapy With or Without Antiandrogen Therapy in Treating Patients With Stage I or Stage II Prostate Cancer	https://clinicaltrials.gov/study/NCT00002597	COMPLETED
NCT00002601	Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Sarcoma	https://clinicaltrials.gov/study/NCT00002601	COMPLETED
NCT00002651	SWOG-9346, Hormone Therapy in Treating Men With Stage IV Prostate Cancer	https://clinicaltrials.gov/study/NCT00002651	COMPLETED
NCT00002766	Comparison of Two Combination Chemotherapy Regimens in Treating Adults With Previously Untreated Leukemia or Lymphoma	https://clinicaltrials.gov/study/NCT00002766	COMPLETED
NCT00002842	Liver Resection and Floxuridine Plus Fluorouracil and Leucovorin in Treating Patients With Liver Metastases From Colorectal Cancer	https://clinicaltrials.gov/study/NCT00002842	COMPLETED
NCT00002850	Antibiotic Therapy in Preventing Early Infection in Patients With Multiple Myeloma Who Are Receiving Chemotherapy	https://clinicaltrials.gov/study/NCT00002850	COMPLETED
NCT00002874	Radiation Therapy With or Without Bicalutamide for Recurrent pT3N0 Prostate Cancer After Radical Prostatectomy	https://clinicaltrials.gov/study/NCT00002874	COMPLETED
NCT00002931	Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Relapsed Germ Cell Cancer	https://clinicaltrials.gov/study/NCT00002931	COMPLETED
NCT00003199	Combination Chemotherapy and Peripheral Blood Stem Cell Transplant Followed By Aldesleukin and Sargramostim in Treating Patients With Inflammatory Stage IIIB or Metastatic Stage IV Breast Cancer	https://clinicaltrials.gov/study/NCT00003199	COMPLETED
NCT00003270	Chemotherapy, Radiation Therapy, and Umbilical Cord Blood Transplantation in Treating Patients With Hematologic Cancer	https://clinicaltrials.gov/study/NCT00003270	COMPLETED
NCT00003298	Chemotherapy, Surgery, and Radiation Therapy in Treating Patients With Gastric Cancer	https://clinicaltrials.gov/study/NCT00003298	COMPLETED
NCT00003377	Radiation Therapy, Paclitaxel, and Cisplatin in Treating Patients With Cancer of the Cervix	https://clinicaltrials.gov/study/NCT00003377	COMPLETED
NCT00003389	Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Hodgkin's Lymphoma	https://clinicaltrials.gov/study/NCT00003389	COMPLETED
NCT00003631	Chemotherapy Plus Radiation Therapy in Treating Patients With Refractory or Relapsed Hodgkin's Lymphoma	https://clinicaltrials.gov/study/NCT00003631	COMPLETED
NCT00003644	Carboplatin Plus Paclitaxel With or Without Continued Low-Dose Paclitaxel in Treating Patients With Early-Stage Ovarian Cancer	https://clinicaltrials.gov/study/NCT00003644	COMPLETED
NCT00003659	Fludarabine, Cyclophosphamide, and Rituximab in Treating Patients Who Have Chronic Lymphocytic Leukemia	https://clinicaltrials.gov/study/NCT00003659	COMPLETED
NCT00003782	Combination Chemotherapy in Treating Women With Stage I, Stage II, or Stage IIIA (cT1-3, N0-1, M0) Breast Cancer and Positive Axillary Lymph Nodes	https://clinicaltrials.gov/study/NCT00003782	COMPLETED
NCT00003816	Combination Chemotherapy and Donor Stem Cell Transplant in Treating Patients With Aplastic Anemia or Hematologic Cancer	https://clinicaltrials.gov/study/NCT00003816	COMPLETED
NCT00003820	Rituximab in Treating Patients With Hodgkin's Lymphoma	https://clinicaltrials.gov/study/NCT00003820	COMPLETED
NCT00003838	Specialized Blood Cell Transplants for Cancers of the Blood and Bone Marrow	https://clinicaltrials.gov/study/NCT00003838	COMPLETED
NCT00003896	S9912 Combination Chemo in Stage III Ovarian Cancer,	https://clinicaltrials.gov/study/NCT00003896	COMPLETED
NCT00003907	Chemoembolization in Treating Patients With Primary Liver Cancer or Metastases to the Liver	https://clinicaltrials.gov/study/NCT00003907	COMPLETED
NCT00004031	SWOG-9704 Chemoradiotherapy and Peripheral Stem Cell Transplantation Compared With Combination Chemotherapy in Treating Patients With Non-Hodgkin's Lymphoma	https://clinicaltrials.gov/study/NCT00004031	COMPLETED
NCT00004054	Hormone Therapy Plus Radiation Therapy With or Without Combination Chemotherapy in Treating Patients With Prostate Cancer	https://clinicaltrials.gov/study/NCT00004054	COMPLETED
NCT00004092	Combination Chemotherapy in Treating Patients With High-Risk Breast Cancer	https://clinicaltrials.gov/study/NCT00004092	COMPLETED
